portalFamily,portalPosition,portalLabel,duplicateLabelCount,source,observedOn,effectiveDate,candidateCatalogDestinations,exactCatalogDestination,canonicalCode,programId,status,exception
Portfolio Soft Roman,17,CARAVELLO MACADAMIA(BANKS MACADAMIA),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,CRV02,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,18,CARAVELLO PEWTER(BANKS PEWTER),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,19,CARAVELLO SLATE(BANKS SLATE),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,20,CARAVELLO WHEAT(BANKS WHEAT),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,CRV05,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,21,CASSIA KIWI,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,CSS01,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,22,CASSIA ZEST,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,CSS02,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,23,CHAISSON LILY(ATELIER LILY),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,24,CHIASSON SILVER(ATELIER SILVER),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,CHS02,sundance_portfolio_roman_p22_t1 | sundance_portfolio_roman_p24_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,25,CHIASSON STONE(ATELIER STONE),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,CHS03,sundance_portfolio_roman_p22_t1 | sundance_portfolio_roman_p24_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,26,CURRENT AQUIFER,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,CRN01,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,27,CURRENT IRON,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,CRN02,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,28,CURRENT WIND,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,CRN03,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,29,DARBY MAGNOLIA(CAROLINA MAGNOLIA),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,DBY01,sundance_portfolio_roman_p22_t1 | sundance_portfolio_roman_p24_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,30,DARBY MIST(CAROLINA MIST),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,DBY02,sundance_portfolio_roman_p22_t1 | sundance_portfolio_roman_p24_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,31,DARBY SHELL(CAROLINA SHELL),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,DBY03,sundance_portfolio_roman_p22_t1 | sundance_portfolio_roman_p24_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,32,DARBY THUNDER(CAROLINA THUNDER),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,DBY04,sundance_portfolio_roman_p22_t1 | sundance_portfolio_roman_p24_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,33,DARBY TIDE(CAROLINA TIDE),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,DBY05,sundance_portfolio_roman_p22_t1 | sundance_portfolio_roman_p24_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,34,DUFF KHAKI,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,DFF03R,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,35,DUFF NATURAL,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,DFF01R,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,36,EDEN CLOUD,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,EDN01,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,37,EDEN INK,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,EDN02,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,38,EDEN MOONLIGHT,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,EDN03,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,39,GWIN DUSTY ROSE,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,GWI02,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,40,GWIN LATTE,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,GWI03,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,41,GWIN PALM,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,GWI04,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,42,GWIN RUST,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,GWI05,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,43,GWIN WHITE,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,GWI06,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,44,HERRINGTON SEA SALT(REDONDO SEA SALT),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,HRG01,sundance_portfolio_roman_p21_t1 | sundance_portfolio_roman_p23_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,45,HERRINGTON SNOW DROP(REDONDO SNOWDROP),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,HRG02,sundance_portfolio_roman_p21_t1 | sundance_portfolio_roman_p23_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,46,KENLIE CHARCOAL,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,47,KENLIE DIAMOND,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,48,KENLIE EVERGREEN,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,49,KENLIE SILVER,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,50,KENLIE TWILIGHT,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,51,KIERNAN ASH(REYES ASH),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,52,KIERNAN BIRCHREYES BIRCH),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,53,KIERNAN TAPENADE(REYES TAPENADE),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,54,KIERNAN WINTER(REYES WINTER),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,55,LADNER MIDNIGHT(HERRING MIDNIGHT),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,LDN01,sundance_portfolio_roman_p21_t1 | sundance_portfolio_roman_p23_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,56,LADNER SHORE(HERRING SHORE),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,LDN02,sundance_portfolio_roman_p21_t1 | sundance_portfolio_roman_p23_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,57,LAKEN AQUA(EMBER AQUA),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,LKN01,sundance_portfolio_roman_p22_t1 | sundance_portfolio_roman_p24_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,58,LAKEN CONTRAST(EMBER CONTRAST),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,59,LAKEN STORM(EMBER STORM),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,LKN02,sundance_portfolio_roman_p22_t1 | sundance_portfolio_roman_p24_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,60,LEA AZURE(CLEMENTE AZURE),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,LEA01,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,61,LEA COBBLESTONE(CLEMENTE COBBLESTONE),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,LEA02,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,62,LEA COTTON(CLEMENTE COTTON),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,LEA03,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,63,LEA GRAY,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,LEA06,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,64,LEA HONEY(CLEMENTE HONEY),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,LEA04,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,65,LEA ICE,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,LEA07,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,66,LEA LIGHT GRAY,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,LEA08,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,67,LEA PEBBLE(CLEMENTE PEBBLE),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,LEA05,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,68,LEA SOFT WHITE,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,LEA09,sundance_portfolio_roman_p21_t2 | sundance_portfolio_roman_p23_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,69,LEBEAU GOLD,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,70,LEBEAU SILVER,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,71,LEBEAU WHITE,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,72,LUMEN GRAY,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,LUM01,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,73,LUMEN MIST,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,LUM02,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,74,LUMEN WHITE,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,LUM03,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,75,MATTIE CELADON,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,MTT01,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,76,MATTIE LAGOON,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,MTT02,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,77,MATTIE METALLIC,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,MTT03,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,78,MATTIE STORM,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,MTT04,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,79,MATTIE TAUPE,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,MTT05,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,80,MATTIE TUNGSTEN,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,MTT06,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,81,MERDIA RADISH,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,82,MERIDA CITRON,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,MDA03,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,83,MERIDA CONTRETE,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,84,MERIDA LAUREL,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,MDA04,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,85,MILLER SNOW,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],,,,unresolved_exception,"Exact identity/color-to-program route and current source revision, option compatibility, account terms and production save/price proof unresolved; menu label alone is not pricing authority"
Portfolio Soft Roman,86,PARSON COTTON(KAILA COTTON),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,PRS02,sundance_portfolio_roman_p22_t1 | sundance_portfolio_roman_p24_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,87,PARSON CREAM(KAILA CREAM),1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,PRS01,sundance_portfolio_roman_p22_t1 | sundance_portfolio_roman_p24_t1,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,88,RAMSEY ALLOY,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,RAM01,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
Portfolio Soft Roman,89,RAMSEY PLATINUM,1,https://sundance.blindata.app,2026-09-20,,['sundance_portfolio_roman'],sundance_portfolio_roman,RAM02,sundance_portfolio_roman_p22_t2 | sundance_portfolio_roman_p24_t2,source_mapped_manual_pricing_required,"Exact source material matched; valid style/control, current availability and account prices still require verification"
