page,json_path,classification,finding
https://www.805shutters.com/blinds/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/blinds/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/blinds/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/blinds/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/blinds/,$[1].@graph[1].provider,Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/blinds/,$[1].@graph[1].provider,Approved identity,url lacks trailing slash
https://www.805shutters.com/blinds/,$[1].@graph[1].provider,Reference consistency,partial business definition lacks email; consolidate into @id reference
https://www.805shutters.com/drapery/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/drapery/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/drapery/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/drapery/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/drapery/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/drapery/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/drapery/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/drapery/,$[1].@graph[1].provider,Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/drapery/,$[1].@graph[1].provider,Approved identity,url lacks trailing slash
https://www.805shutters.com/drapery/,$[1].@graph[1].provider,Reference consistency,partial business definition lacks email; consolidate into @id reference
https://www.805shutters.com/exterior-shades/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/exterior-shades/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/exterior-shades/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/exterior-shades/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/exterior-shades/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/exterior-shades/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/exterior-shades/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/exterior-shades/,$[1].@graph[1].provider,Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/exterior-shades/,$[1].@graph[1].provider,Approved identity,url lacks trailing slash
https://www.805shutters.com/exterior-shades/,$[1].@graph[1].provider,Reference consistency,partial business definition lacks email; consolidate into @id reference
https://www.805shutters.com/window-treatments/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/window-treatments/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/window-treatments/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/window-treatments/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/window-treatments/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/window-treatments/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/window-treatments/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/window-treatments/,$[1].@graph[1].provider,Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/window-treatments/,$[1].@graph[1].provider,Approved identity,url lacks trailing slash
https://www.805shutters.com/window-treatments/,$[1].@graph[1].provider,Reference consistency,partial business definition lacks email; consolidate into @id reference
https://www.805shutters.com/window-coverings/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/window-coverings/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/window-coverings/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/window-coverings/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/window-coverings/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/window-coverings/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/window-coverings/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/window-coverings/,$[1].@graph[1].provider,Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/window-coverings/,$[1].@graph[1].provider,Approved identity,url lacks trailing slash
https://www.805shutters.com/window-coverings/,$[1].@graph[1].provider,Reference consistency,partial business definition lacks email; consolidate into @id reference
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/commercial-window-coverings/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/commercial-window-coverings/,$[1].@graph[1].provider,Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/commercial-window-coverings/,$[1].@graph[1].provider,Approved identity,url lacks trailing slash
https://www.805shutters.com/commercial-window-coverings/,$[1].@graph[1].provider,Reference consistency,partial business definition lacks email; consolidate into @id reference
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/commercial-roller-shades/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/commercial-roller-shades/,$[1].@graph[1].provider,Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/commercial-roller-shades/,$[1].@graph[1].provider,Approved identity,url lacks trailing slash
https://www.805shutters.com/commercial-roller-shades/,$[1].@graph[1].provider,Reference consistency,partial business definition lacks email; consolidate into @id reference
https://www.805shutters.com/about/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/about/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/about/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/about/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/about/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/about/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/about/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/contact/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/contact/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/contact/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/contact/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/contact/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/contact/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/contact/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/free-window-treatment-consultation/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/financing/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/financing/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/financing/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/financing/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/financing/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/financing/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/financing/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/financing/,$[1].@graph[1].provider,Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/financing/,$[1].@graph[1].provider,Approved identity,url lacks trailing slash
https://www.805shutters.com/financing/,$[1].@graph[1].provider,Reference consistency,partial business definition lacks email; consolidate into @id reference
https://www.805shutters.com/faq/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/faq/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/faq/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/faq/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/faq/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/faq/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/faq/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/gallery/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/gallery/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/gallery/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/gallery/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/gallery/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/gallery/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/gallery/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/reviews/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/reviews/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/reviews/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/reviews/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/reviews/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/reviews/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/reviews/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/reviews/,$[1].@graph[1].provider,Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/reviews/,$[1].@graph[1].provider,Approved identity,url lacks trailing slash
https://www.805shutters.com/reviews/,$[1].@graph[1].provider,Reference consistency,partial business definition lacks email; consolidate into @id reference
https://www.805shutters.com/recent-projects/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/recent-projects/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/recent-projects/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/recent-projects/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/recent-projects/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/recent-projects/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/recent-projects/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/shutters/camarillo/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/shutters/camarillo/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/shutters/camarillo/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/shutters/camarillo/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/shutters/camarillo/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/shutters/camarillo/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/shutters/camarillo/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/shutters/camarillo/,$[1].@graph[1].provider,Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/shutters/camarillo/,$[1].@graph[1].provider,Approved identity,url lacks trailing slash
https://www.805shutters.com/shutters/camarillo/,$[1].@graph[1].provider,Reference consistency,partial business definition lacks email; consolidate into @id reference
https://www.805shutters.com/shades/camarillo-ca/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/shades/camarillo-ca/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/shades/camarillo-ca/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/shades/camarillo-ca/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/shades/camarillo-ca/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/shades/camarillo-ca/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/shades/camarillo-ca/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/shades/camarillo-ca/,$[1].@graph[1].provider,Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/shades/camarillo-ca/,$[1].@graph[1].provider,Approved identity,url lacks trailing slash
https://www.805shutters.com/shades/camarillo-ca/,$[1].@graph[1].provider,Reference consistency,partial business definition lacks email; consolidate into @id reference
https://www.805shutters.com/blinds/camarillo-ca/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/blinds/camarillo-ca/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/blinds/camarillo-ca/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/blinds/camarillo-ca/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/blinds/camarillo-ca/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/blinds/camarillo-ca/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/blinds/camarillo-ca/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/blinds/camarillo-ca/,$[1].@graph[1].provider,Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/blinds/camarillo-ca/,$[1].@graph[1].provider,Approved identity,url lacks trailing slash
https://www.805shutters.com/blinds/camarillo-ca/,$[1].@graph[1].provider,Reference consistency,partial business definition lacks email; consolidate into @id reference
https://www.805shutters.com/drapery/camarillo-ca/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/drapery/camarillo-ca/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/drapery/camarillo-ca/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/drapery/camarillo-ca/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/drapery/camarillo-ca/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/drapery/camarillo-ca/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/drapery/camarillo-ca/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/drapery/camarillo-ca/,$[1].@graph[1].provider,Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/drapery/camarillo-ca/,$[1].@graph[1].provider,Approved identity,url lacks trailing slash
https://www.805shutters.com/drapery/camarillo-ca/,$[1].@graph[1].provider,Reference consistency,partial business definition lacks email; consolidate into @id reference
https://www.805shutters.com/window-coverings/camarillo-ca/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/window-coverings/camarillo-ca/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/window-coverings/camarillo-ca/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/window-coverings/camarillo-ca/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/window-coverings/camarillo-ca/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/window-coverings/camarillo-ca/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/window-coverings/camarillo-ca/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/window-coverings/camarillo-ca/,$[1].@graph[1].provider,Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/window-coverings/camarillo-ca/,$[1].@graph[1].provider,Approved identity,url lacks trailing slash
https://www.805shutters.com/window-coverings/camarillo-ca/,$[1].@graph[1].provider,Reference consistency,partial business definition lacks email; consolidate into @id reference
https://www.805shutters.com/window-treatments/camarillo-ca/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/window-treatments/camarillo-ca/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/window-treatments/camarillo-ca/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/window-treatments/camarillo-ca/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/window-treatments/camarillo-ca/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/window-treatments/camarillo-ca/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/window-treatments/camarillo-ca/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/window-treatments/camarillo-ca/,$[1].@graph[1].provider,Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/window-treatments/camarillo-ca/,$[1].@graph[1].provider,Approved identity,url lacks trailing slash
https://www.805shutters.com/window-treatments/camarillo-ca/,$[1].@graph[1].provider,Reference consistency,partial business definition lacks email; consolidate into @id reference
https://www.805shutters.com/shutters/fillmore/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/shutters/fillmore/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/shutters/fillmore/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
https://www.805shutters.com/shutters/fillmore/,$[0].@graph[0],Google recommended / deliberately omitted,geo absent; no verified customer-facing physical location
https://www.805shutters.com/shutters/fillmore/,$[0].@graph[0],Approved geography,areaServed includes Santa Clarita; lacks explicit Ventura County; serviceArea includes North Los Angeles County
https://www.805shutters.com/shutters/fillmore/,$[0].@graph[0],Approved identity,sameAs Maps and Instagram variants differ from requested exact URLs (not evidence of wrong entity)
https://www.805shutters.com/shutters/fillmore/,$[0].@graph[0].makesOffer,Schema.org range error,makesOffer contains Text; expected Offer
https://www.805shutters.com/shutters/fillmore/,$[1].@graph[1].provider,Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/shutters/fillmore/,$[1].@graph[1].provider,Approved identity,url lacks trailing slash
https://www.805shutters.com/shutters/fillmore/,$[1].@graph[1].provider,Reference consistency,partial business definition lacks email; consolidate into @id reference
https://www.805shutters.com/shades/fillmore-ca/,$[0].@graph[0],Approved identity,telephone lacks approved +1 format
https://www.805shutters.com/shades/fillmore-ca/,$[0].@graph[0],Approved identity,url lacks trailing slash
https://www.805shutters.com/shades/fillmore-ca/,$[0].@graph[0],Google required / deliberately omitted,address absent; service-area privacy rule retained; LocalBusiness rich-result eligibility gap
