"products","file","line","kind","rule_id","source","message","expression","enclosing_function"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1337","validation helper invocation","""honeycomb.matrix.side_by_side.system_ineligible""","15","""Side by Side is unavailable for motorized, SmartFit with Frame, and SmartFit for Sloped Windows applications.""","issue( ""honeycomb.matrix.side_by_side.system_ineligible"", 15, { system }, ""Side by Side is unavailable for motorized, SmartFit with Frame, and SmartFit for Sloped Windows applications."", )","validateMountAndSideBySide"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1359","validation helper invocation","""honeycomb.matrix.side_by_side.exact_match_required""","15","""Side-by-side shades must be ordered together and match mount, lift system, exact fabric color, shade height, and cell size without exception.""","issue( ""honeycomb.matrix.side_by_side.exact_match_required"", 15, { missingMatchConfirmations: missing }, ""Side-by-side shades must be ordered together and match mount, lift system, exact fabric color, shade height, and cell size without exception."", )","validateMountAndSideBySide"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1490","validation helper invocation","""honeycomb.matrix.two_on_one.configuration_ineligible""","[6, 15]","""2-on-1 is documented only for Cord Loop, Cordless, and Woven Cordless configurations in the source table.""","issue( ""honeycomb.matrix.two_on_one.configuration_ineligible"", [6, 15], { system, cell, fabricClass }, ""2-on-1 is documented only for Cord Loop, Cordless, and Woven Cordless configurations in the source table."", )","validateTwoOnOne"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1510","validation helper invocation","`honeycomb.matrix.two_on_one.${profile.id}.${failure}`","6","`The 2-on-1 whole-unit ${failure.replaceAll(""_"", "" "")} boundary is violated.`","issue( `honeycomb.matrix.two_on_one.${profile.id}.${failure}`, 6, { ...baseSelected(context), profileId: profile.id, ...limits }, `The 2-on-1 whole-unit ${failure.replaceAll(""_"", "" "")} boundary is violated.`, )","validateTwoOnOne"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1523","validation helper invocation","""honeycomb.matrix.two_on_one.smartrise_tall_min_width""","6","""A SmartRise 2-on-1 unit over 86 inches high requires at least 50 1/4 inches total width.""","issue( ""honeycomb.matrix.two_on_one.smartrise_tall_min_width"", 6, { widthInches: context.widthInches, heightInches: context.heightInches, minWidth: 50.25, thresholdHeight: 86, }, ""A SmartRise 2-on-1 unit over 86 inches high requires at least 50 1/4 inches total width."", )","validateTwoOnOne"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1541","validation helper invocation","""honeycomb.matrix.two_on_one.component_widths_required""","6","""Both shade net widths are required to enforce each-shade limits; the guide does not permit deriving them from whole-unit width and gap/deduction data.""","issue( ""honeycomb.matrix.two_on_one.component_widths_required"", 6, { honeycomb_component_net_widths: widths }, ""Both shade net widths are required to enforce each-shade limits; the guide does not permit deriving them from whole-unit width and gap/deduction data."", )","validateTwoOnOne"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1551","validation helper invocation","""honeycomb.matrix.two_on_one.max_per_shade_width""","6","`2-on-1 shade ${index + 1} exceeds the documented per-shade width.`","issue( ""honeycomb.matrix.two_on_one.max_per_shade_width"", 6, { component: index + 1, widthInches: width, maxWidth: profile.maxPerShadeWidth, }, `2-on-1 shade ${index + 1} exceeds the documented per-shade width.`, )","validateTwoOnOne"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1565","validation helper invocation","""honeycomb.matrix.two_on_one.max_per_shade_area""","6","`2-on-1 shade ${index + 1} exceeds the documented per-shade area.`","issue( ""honeycomb.matrix.two_on_one.max_per_shade_area"", 6, { component: index + 1, areaSqFt: area, maxAreaSqFt: profile.maxPerShadeAreaSqFt, }, `2-on-1 shade ${index + 1} exceeds the documented per-shade area.`, )","validateTwoOnOne"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1582","validation helper invocation","""honeycomb.matrix.two_on_one.smartrise_tall_per_shade_min_width""","6","`SmartRise component ${index + 1} over 86 inches high must be at least 25 inches wide.`","issue( ""honeycomb.matrix.two_on_one.smartrise_tall_per_shade_min_width"", 6, { component: index + 1, widthInches: width, minWidth: 25, thresholdHeight: 86, }, `SmartRise component ${index + 1} over 86 inches high must be at least 25 inches wide.`, )","validateTwoOnOne"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1642","validation helper invocation","""honeycomb.matrix.sloped_frame.frame_ineligible""","35","""Sloped SmartFit with Frame permits only Beaded L, 2-inch Belair Z, or 2-inch Bullnose Z frames.""","issue( ""honeycomb.matrix.sloped_frame.frame_ineligible"", 35, { frame_type: frameType || null }, ""Sloped SmartFit with Frame permits only Beaded L, 2-inch Belair Z, or 2-inch Bullnose Z frames."", )","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1651","validation helper invocation","""honeycomb.matrix.sloped_frame.z_inside_only""","35","""Sloped Z frames are inside-mount only.""","issue( ""honeycomb.matrix.sloped_frame.z_inside_only"", 35, { frame_type: frameType, mount_type: stringConfig(context, ""mount_type""), }, ""Sloped Z frames are inside-mount only."", )","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1666","validation helper invocation","""honeycomb.matrix.sloped_frame.tpost_sill_excluded""","35","""T-posts and sill plates are not available for Sloped SmartFit with Frame.""","issue( ""honeycomb.matrix.sloped_frame.tpost_sill_excluded"", 35, { t_post_count: numberConfig(context, ""t_post_count""), sill_plate: booleanConfig(context, ""sill_plate""), }, ""T-posts and sill plates are not available for Sloped SmartFit with Frame."", )","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1685","validation helper invocation","`honeycomb.matrix.sloped_frame.${failure}`","35","`Sloped frame-to-frame ${failure.replaceAll(""_"", "" "")} boundary is violated.`","issue( `honeycomb.matrix.sloped_frame.${failure}`, 35, { ...baseSelected(context), ...frameLimits }, `Sloped frame-to-frame ${failure.replaceAll(""_"", "" "")} boundary is violated.`, )","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1694","validation helper invocation","""honeycomb.matrix.sloped_frame.splice_derived""","35","{ frame_splice_required: true }","issue( ""honeycomb.matrix.sloped_frame.splice_derived"", 35, { widthInches: context.widthInches, heightInches: context.heightInches, }, ""The frame will be split when its length exceeds 120 inches."", ""auto_derive"", { frame_splice_required: true }, )","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1715","validation helper invocation","""honeycomb.matrix.frame.type_required""","[19, 20, 33]","""Select one exact documented SmartFit frame type.""","issue( ""honeycomb.matrix.frame.type_required"", [19, 20, 33], { frame_type: frameType || null }, ""Select one exact documented SmartFit frame type."", )","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1729","validation helper invocation","""honeycomb.matrix.frame.tpost_count_required""","[20, 27]","""T-post count must be an explicit whole number from 0 through 3.""","issue( ""honeycomb.matrix.frame.tpost_count_required"", [20, 27], { t_post_count: tPostCount }, ""T-post count must be an explicit whole number from 0 through 3."", )","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1740","validation helper invocation","""honeycomb.matrix.frame.mount_ineligible""","33","z ? ""Z frames are inside-mount only."" : ""Deco frames are outside-mount only.""","issue( ""honeycomb.matrix.frame.mount_ineligible"", 33, { frame_type: frameType, mount_type: stringConfig(context, ""mount_type""), }, z ? ""Z frames are inside-mount only."" : ""Deco frames are outside-mount only."", )","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1767","validation helper invocation","`honeycomb.matrix.frame.${profile.id}.${tPostCount}.${failure}`","20","`Frame-to-frame ${failure.replaceAll(""_"", "" "")} boundary is violated.`","issue( `honeycomb.matrix.frame.${profile.id}.${tPostCount}.${failure}`, 20, { ...baseSelected(context), frameType, tPostCount, ...frameLimits }, `Frame-to-frame ${failure.replaceAll(""_"", "" "")} boundary is violated.`, )","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1776","validation helper invocation","""honeycomb.matrix.frame.splice_derived""","27","{ frame_splice_required: true }","issue( ""honeycomb.matrix.frame.splice_derived"", 27, { widthInches: context.widthInches, t_post_count: tPostCount }, ""Frames wider than 120 inches are split away from T-post locations."", ""auto_derive"", { frame_splice_required: true }, )","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1788","validation helper invocation","""honeycomb.matrix.frame.sill_plate_ineligible""","19","""Sill plates are optional only for Z and Deco frames.""","issue( ""honeycomb.matrix.frame.sill_plate_ineligible"", 19, { frame_type: frameType, sill_plate: true }, ""Sill plates are optional only for Z and Deco frames."", )","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1800","validation helper invocation","""honeycomb.matrix.frame.notch_required""","19","""Vintage L Frame with 3/4-inch light block is available only with the documented notch-out.""","issue( ""honeycomb.matrix.frame.notch_required"", 19, { frame_type: frameType, frame_notch_out: booleanConfig(context, ""frame_notch_out""), }, ""Vintage L Frame with 3/4-inch light block is available only with the documented notch-out."", )","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1823","validation helper invocation","""honeycomb.matrix.frame.notch_dimensions""","19","""Frame notch-out is allowed only on the 3/4-inch-light-block Vintage L frame, with A at most 1 1/8 inches and B at most 1/2 inch.""","issue( ""honeycomb.matrix.frame.notch_dimensions"", 19, { frame_type: frameType, frame_notch_a_inches: a, frame_notch_b_inches: b, maxA: 1.125, maxB: 0.5, }, ""Frame notch-out is allowed only on the 3/4-inch-light-block Vintage L frame, with A at most 1 1/8 inches and B at most 1/2 inch."", )","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1855","validation helper invocation","""honeycomb.matrix.frame.panel_net_sizes_required""","[20, 34, 35]","""Every shade between T-posts requires its actual net width and height; frame-to-frame dimensions cannot be used as a substitute.""","issue( ""honeycomb.matrix.frame.panel_net_sizes_required"", [20, 34, 35], { expectedPanelCount: expected, honeycomb_panel_net_widths: panelWidths, honeycomb_panel_net_heights: panelHeights, }, ""Every shade between T-posts requires its actual net width and height; frame-to-frame dimensions cannot be used as a substitute."", )","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1875","validation helper invocation","`honeycomb.matrix.frame.panel.${failure}`","panelProfile.sourcePage","`Frame panel ${index + 1} violates its net-shade ${failure.replaceAll(""_"", "" "")} limit.`","issue( `honeycomb.matrix.frame.panel.${failure}`, panelProfile.sourcePage, { panel: index + 1, widthInches: width, heightInches: panelHeights[index], ...panelProfile.limits, }, `Frame panel ${index + 1} violates its net-shade ${failure.replaceAll(""_"", "" "")} limit.`, )","validateFrame"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1912","validation helper invocation","""honeycomb.matrix.slope_angle""","system === ""smartfit_sloped_frame"" ? 35 : system === ""smartfit_sloped"" ? 17 : 16","`This SmartFit application requires an explicit slope angle from ${min} through ${max} degrees.`","issue( ""honeycomb.matrix.slope_angle"", system === ""smartfit_sloped_frame"" ? 35 : system === ""smartfit_sloped"" ? 17 : 16, { slope_angle_degrees: angle, minAngle: min, maxAngle: max }, `This SmartFit application requires an explicit slope angle from ${min} through ${max} degrees.`, )","validateSlope"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1942","validation helper invocation","""honeycomb.matrix.sheer_9_16_day_night_only""","8","""9/16-inch Sheer fabric is available only as a Day & Night layer, never as a single shade.""","issue( ""honeycomb.matrix.sheer_9_16_day_night_only"", 8, { frontClass, frontCell }, ""9/16-inch Sheer fabric is available only as a Day & Night layer, never as a single shade."", )","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1957","validation helper invocation","""honeycomb.matrix.day_night.exact_rear_required""","[8, 9]","""Day & Night requires an exact rear fabric class/color and cell size before compatibility can be established.""","issue( ""honeycomb.matrix.day_night.exact_rear_required"", [8, 9], { rear_fabric_collection: context.configuration.rear_fabric_collection ?? null, rear_cell_size: context.configuration.rear_cell_size ?? null, }, ""Day & Night requires an exact rear fabric class/color and cell size before compatibility can be established."", )","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1974","validation helper invocation","""honeycomb.matrix.day_night.rear_ineligible""","[8, 9]","""The rear Day & Night fabric/cell is unavailable for this application.""","issue( ""honeycomb.matrix.day_night.rear_ineligible"", [8, 9], { system, rearClass, rearCell }, ""The rear Day & Night fabric/cell is unavailable for this application."", )","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1984","validation helper invocation","""honeycomb.matrix.day_night.smartfit_same_cell""","16","""SmartFit Dual top and bottom shades must use the same cell size.""","issue( ""honeycomb.matrix.day_night.smartfit_same_cell"", 16, { frontCell, rearCell }, ""SmartFit Dual top and bottom shades must use the same cell size."", )","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","1997","validation object","`${i.ruleId}.rear`","","`Second shade: ${i.explanation}`","{...i, ruleId: `${i.ruleId}.rear`, explanation: `Second shade: ${i.explanation}`}","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2004","validation helper invocation","""honeycomb.matrix.day_night.vertical_same_cell""","8","""Vertical Day & Night left and right shades must use the same cell size.""","issue( ""honeycomb.matrix.day_night.vertical_same_cell"", 8, { frontCell, rearCell }, ""Vertical Day & Night left and right shades must use the same cell size."", )","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2029","validation helper invocation","""honeycomb.matrix.day_night.vertical_pair""","8","""This left/right fabric-class pair is absent from the Vertical Day & Night combination table.""","issue( ""honeycomb.matrix.day_night.vertical_pair"", 8, { frontClass, rearClass }, ""This left/right fabric-class pair is absent from the Vertical Day & Night combination table."", )","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2044","validation helper invocation","""honeycomb.matrix.day_night.layer_position_required""","8","""Identify whether the front or rear selection is the top layer so top-only and bottom-only fabric rules can be enforced.""","issue( ""honeycomb.matrix.day_night.layer_position_required"", 8, { day_night_top_layer: stringConfig(context, ""day_night_top_layer"") || null, }, ""Identify whether the front or rear selection is the top layer so top-only and bottom-only fabric rules can be enforced."", )","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2061","validation helper invocation","""honeycomb.matrix.day_night.room_darkening_pair""","8","""Room Darkening plus Room Darkening is prohibited.""","issue( ""honeycomb.matrix.day_night.room_darkening_pair"", 8, { topClass, bottomClass }, ""Room Darkening plus Room Darkening is prohibited."", )","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2070","validation helper invocation","""honeycomb.matrix.day_night.sheer_pair""","8","""Sheer plus Sheer is prohibited.""","issue( ""honeycomb.matrix.day_night.sheer_pair"", 8, { topClass, bottomClass }, ""Sheer plus Sheer is prohibited."", )","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2079","validation helper invocation","""honeycomb.matrix.day_night.windsong_pair""","8","""Windsong plus Windsong is prohibited.""","issue( ""honeycomb.matrix.day_night.windsong_pair"", 8, { topClass, bottomClass }, ""Windsong plus Windsong is prohibited."", )","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2091","validation helper invocation","""honeycomb.matrix.day_night.sheer_windsong_pair""","8","""Sheer plus Windsong is prohibited.""","issue( ""honeycomb.matrix.day_night.sheer_windsong_pair"", 8, { topClass, bottomClass }, ""Sheer plus Windsong is prohibited."", )","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2100","validation helper invocation","""honeycomb.matrix.day_night.top_only_fabric""","8","""Sheer and Windsong are top-shade-only fabrics.""","issue( ""honeycomb.matrix.day_night.top_only_fabric"", 8, { topClass, bottomClass }, ""Sheer and Windsong are top-shade-only fabrics."", )","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2109","validation helper invocation","""honeycomb.matrix.day_night.solus_bottom_only""","8","""Solus is a bottom-shade-only fabric.""","issue( ""honeycomb.matrix.day_night.solus_bottom_only"", 8, { topClass, bottomClass }, ""Solus is a bottom-shade-only fabric."", )","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2121","validation helper invocation","""honeycomb.matrix.day_night.lf_rd_cell""","8","""LF plus RD is offered only in 3/4-inch or 1 1/4-inch Single Cell.""","issue( ""honeycomb.matrix.day_night.lf_rd_cell"", 8, { frontCell, topClass, bottomClass }, ""LF plus RD is offered only in 3/4-inch or 1 1/4-inch Single Cell."", )","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2143","validation helper invocation","""honeycomb.matrix.day_night.sheer_double_pairing""","8","""A 1/2-inch Double non-sheer pairs with 3/4-inch Single Sheer; a 3/4-inch Double pairs with 1 1/4-inch Single Sheer.""","issue( ""honeycomb.matrix.day_night.sheer_double_pairing"", 8, { frontClass, frontCell, rearClass, rearCell }, ""A 1/2-inch Double non-sheer pairs with 3/4-inch Single Sheer; a 3/4-inch Double pairs with 1 1/4-inch Single Sheer."", )","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2152","validation helper invocation","""honeycomb.matrix.day_night.same_cell""","8","""Top and bottom non-sheer shades must use the same cell size.""","issue( ""honeycomb.matrix.day_night.same_cell"", 8, { frontCell, rearCell }, ""Top and bottom non-sheer shades must use the same cell size."", )","validateDayNight"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2186","validation helper invocation","""honeycomb.matrix.vertical.stacking_required""","36","""Select one documented Patio Door Vertical stacking configuration.""","issue( ""honeycomb.matrix.vertical.stacking_required"", 36, { stacking_configuration: stringConfig(context, ""stacking_configuration"") || null, }, ""Select one documented Patio Door Vertical stacking configuration."", )","validateVertical"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2202","validation helper invocation","""honeycomb.matrix.vertical.day_night_center_opening""","38","""Vertical Day & Night is available only as Center Opening.""","issue( ""honeycomb.matrix.vertical.day_night_center_opening"", 38, { stacking_configuration: stringConfig(context, ""stacking_configuration"") || null, }, ""Vertical Day & Night is available only as Center Opening."", )","validateVertical"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2217","validation helper invocation","""honeycomb.matrix.vertical.custom_split_widths_required""","5","""Custom Split requires exact left and right shade widths.""","issue( ""honeycomb.matrix.vertical.custom_split_widths_required"", 5, { vertical_left_width_inches: left, vertical_right_width_inches: right, }, ""Custom Split requires exact left and right shade widths."", )","validateVertical"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2234","validation helper invocation","`honeycomb.matrix.vertical.custom_split_${side}_width`","5","`Custom Split ${side} side must be from 15 through 131 inches.`","issue( `honeycomb.matrix.vertical.custom_split_${side}_width`, 5, { side, widthInches: width, minWidth: 15, maxWidth: 131 }, `Custom Split ${side} side must be from 15 through 131 inches.`, )","validateVertical"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2246","validation helper invocation","""honeycomb.matrix.vertical.custom_split_total""","5","""Custom Split sides must reconcile exactly to order width and cannot total more than 146 inches.""","issue( ""honeycomb.matrix.vertical.custom_split_total"", 5, { leftWidth: left, rightWidth: right, total: left + right, orderWidth: context.widthInches, maxWidth: 146, }, ""Custom Split sides must reconcile exactly to order width and cannot total more than 146 inches."", )","validateVertical"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2269","validation helper invocation","""honeycomb.matrix.vertical.headrail_splice_derived""","[5, 37]","{ vertical_headrail_splice_required: true }","issue( ""honeycomb.matrix.vertical.headrail_splice_derived"", [5, 37], { mount_type: mount, widthInches: context.widthInches, heightInches: context.heightInches, thresholdWidth: threshold, }, ""The documented width/height condition requires an evenly spliced vertical headrail."", ""auto_derive"", { vertical_headrail_splice_required: true }, )","validateVertical"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2299","validation helper invocation","""honeycomb.matrix.specialty.net_measurements""","39","""Enter and confirm the finished net shade width, height and any leg measurements. Net dimensions must be positive and cannot exceed the ordered opening. The guide's shape limits apply to net sizes; opening dimensions remain the pricing inputs.""","issue(""honeycomb.matrix.specialty.net_measurements"", 39, { orderedWidth: context.widthInches, orderedHeight: context.heightInches, netWidth, netHeight }, ""Enter and confirm the finished net shade width, height and any leg measurements. Net dimensions must be positive and cannot exceed the ordered opening. The guide's shape limits apply to net sizes; opening dimensions remain the pricing inputs."")","validateSpecialtyShape"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2305","validation helper invocation","""honeycomb.matrix.specialty.windsong_net_max""","39","""Windsong specialty shapes cannot exceed 86 inches in net width or height.""","issue(""honeycomb.matrix.specialty.windsong_net_max"", 39, { netWidth, netHeight }, ""Windsong specialty shapes cannot exceed 86 inches in net width or height."")","validateSpecialtyShape"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2312","validation helper invocation","""honeycomb.matrix.specialty.inside_only""","39","""Honeycomb Specialty Shapes are inside-mount only.""","issue( ""honeycomb.matrix.specialty.inside_only"", 39, { mount_type: stringConfig(context, ""mount_type"") || null }, ""Honeycomb Specialty Shapes are inside-mount only."", )","validateSpecialtyShape"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2321","validation helper invocation","""honeycomb.matrix.specialty.templates_not_accepted""","39","""The guide explicitly states that templates are not accepted for Honeycomb Specialty Shapes.""","issue( ""honeycomb.matrix.specialty.templates_not_accepted"", 39, { template_reference: stringConfig( context, ""template_id"", ""template_reference"", ), }, ""The guide explicitly states that templates are not accepted for Honeycomb Specialty Shapes."", )","validateSpecialtyShape"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2336","validation helper invocation","""honeycomb.matrix.specialty.non_operable""","39","""All Honeycomb Specialty Shapes are non-operable.""","issue( ""honeycomb.matrix.specialty.non_operable"", 39, { non_operable: booleanConfig(context, ""non_operable"") }, ""All Honeycomb Specialty Shapes are non-operable."", )","validateSpecialtyShape"
"honeycomb|vertical_honeycomb","src/lib/quote-v2/honeycomb-matrix.ts","2360","validation helper invocation","""honeycomb.matrix.specialty.shape_required""","39","""Select one of the eight documented Honeycomb Specialty Shape families and its left/right orientation where applicable.""","issue( ""honeycomb.matrix.specialty.shape_required"", 39, { specialty_shape: stringConfig(context, ""specialty_shape"") || null }, ""Select one of the eight documented Honeycomb Specialty Shape families and its left/right orientation where applicable."", )","validateSpecialtyShape"
