product,field,field_label,choice_value,choice_label,source_pages,effective_date,status,exception
citylights_aluminum,control_side,Control side,center,Center,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,control_side,Control side,na,N/A,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,lift_system,Lift / control,cordless,Cordless,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,lift_system,Lift / control,continuous_cord_loop,Continuous cord loop,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,lift_system,Lift / control,wand,Wand,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,lift_system,Lift / control,motorized,Motorized,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
citylights_aluminum,lift_system,Lift / control,smartrelease,SmartRelease,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,mount_type,Mount,inside,Inside mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,mount_type,Mount,outside,Outside mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,mount_type,Mount,ceiling,Ceiling mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,mount_type,Mount,side,Side mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,slat_size,Slat size,2,2 in,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,slat_size,Slat size,2_1_2,2 1/2 in,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,color,Color,white,White,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,color,Color,printed,Printed color,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,color,Color,stained,Stained look,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,valance,Valance,none,None,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,valance,Valance,designer_crown,Designer Crown Valance*,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,valance,Valance,modern_curved,Modern Curved Valance*,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,cut_out_sides,Cut-out,none,None,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,cut_out_sides,Cut-out,one,One side,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,cut_out_sides,Cut-out,two,Two sides,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,control_side,Control side,left,Left,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,control_side,Control side,right,Right,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,control_side,Control side,center,Center,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,control_side,Control side,na,N/A,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,lift_system,Lift / control,cordless,Cordless,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,lift_system,Lift / control,continuous_cord_loop,Continuous cord loop,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,lift_system,Lift / control,wand,Wand,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,lift_system,Lift / control,motorized,Motorized,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
faux_wood,lift_system,Lift / control,smartrelease,SmartRelease,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,mount_type,Mount,inside,Inside mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,mount_type,Mount,outside,Outside mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,mount_type,Mount,ceiling,Ceiling mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,mount_type,Mount,side,Side mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,control_side,Control side,left,Left,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,control_side,Control side,right,Right,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,control_side,Control side,center,Center,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,control_side,Control side,na,N/A,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,lift_system,Lift / control,cordless,Cordless,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,lift_system,Lift / control,continuous_cord_loop,Continuous Cord Loop*,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,lift_system,Lift / control,smartrelease,SmartRelease*,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,lift_system,Lift / control,tdbu_td,TDBU / TD*,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,lift_system,Lift / control,smartfit,SmartFit*,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,lift_system,Lift / control,smartfit_with_frame,SmartFit with Frame*,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,lift_system,Lift / control,smartfit_dual_shade,SmartFit Dual Shade*,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,lift_system,Lift / control,smartfit_dual_shade_with_frame,SmartFit Dual Shade with Frame*,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,lift_system,Lift / control,motorized,Motorized,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,light_control,Light control,light_filtering,Light filtering,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,light_control,Light control,room_darkening,Room darkening,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,light_control,Light control,day_night,Day / night,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,cell_size,Cell size,3_8,3/8 in,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,cell_size,Cell size,1_2,1/2 in double,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,cell_size,Cell size,9_16,9/16 in,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,cell_size,Cell size,3_4,3/4 in,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
honeycomb,cell_size,Cell size,1_1_4,1 1/4 in single,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,mount_type,Mount,Inside Mount,Inside mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,shelf_measurement_basis,Shelf measurements,Default,Opening measurements (factory deductions),,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,shelf_measurement_basis,Shelf measurements,Custom,Custom finished measurements,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,accompanying_product_id,Accompanying product,none,Shelf ordered separately,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,accompanying_product_id,Accompanying product,honeycomb,Portrait Honeycomb Shades,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,accompanying_product_id,Accompanying product,roller,Soluna Roller Shades,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,accompanying_product_id,Accompanying product,roman,Centerpiece Roman Shades,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,accompanying_product_id,Accompanying product,smartfold,SmartFold Shades,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,accompanying_product_id,Accompanying product,perfectsheer,PerfectSheer Shades,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,accompanying_product_id,Accompanying product,citylights_aluminum,CityLights Cordless Aluminum Blinds,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,accompanying_product_id,Accompanying product,wood_blinds,Ultimate Normandy Cordless Wood Blinds,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Pure White,Pure White,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Extra White,Extra White,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Silk White,Silk White,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Bright White,Bright White,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Pearl,Pearl,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Ivory Lace,Ivory Lace,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Creamy,Creamy,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Crisp Linen,Crisp Linen,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Bisque,Bisque,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Gray Black,Gray Black,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,String,String,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Sea Mist,Sea Mist,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Ice,Ice,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Clay,Clay,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Decorator's White,Decorator's White,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Winchester White 2010,Winchester White 2010,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Aura White,Aura White,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Taupe Gray,Taupe Gray,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,TS White,TS White,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Rustic Gray,Rustic Gray,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Limed White,Limed White,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Natural,Natural,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Golden Oak,Golden Oak,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Goldenrod,Goldenrod,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Black Walnut,Black Walnut,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Red Oak,Red Oak,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Rich Walnut,Rich Walnut,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Old Teak,Old Teak,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Wenge,Wenge,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Auburn,Auburn,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Matte Black,Matte Black,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Pretzel,Pretzel,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Sumatra,Sumatra,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Toffee,Toffee,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Driftwood,Driftwood,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Silver Gray,Silver Gray,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,True White,True White,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Chiffon,Chiffon,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Natural Linen,Natural Linen,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Chateau Brown,Chateau Brown,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,Classic Black,Classic Black,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
palladian_shelf,color,Shelf color,French Oak,French Oak,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,mount_type,Mount,inside,Inside mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,mount_type,Mount,outside,Outside mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,mount_type,Mount,ceiling,Ceiling mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,mount_type,Mount,side,Side mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,control_side,Control side,left,Left,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,control_side,Control side,right,Right,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,control_side,Control side,center,Center,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,control_side,Control side,na,N/A,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,lift_system,Lift / control,cordless,Cordless,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,lift_system,Lift / control,continuous_cord_loop,Continuous cord loop,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,lift_system,Lift / control,wand,Wand,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,lift_system,Lift / control,motorized,Motorized,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,lift_system,Lift / control,smartrelease,SmartRelease,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,light_control,Light control,light_filtering,Light filtering,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,light_control,Light control,room_darkening,Room darkening,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,valance,Valance,Curved Fascia with Fabric,Curved Fascia with Fabric,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,valance,Valance,Fabric Valance,Fabric Valance,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,valance,Valance,Modern Wood Valance,Modern Wood Valance,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,perfectsheer_installation,Mounting method,Top Mount,Top Mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,perfectsheer_installation,Mounting method,Back Mount,Back Mount,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,perfectsheer_valance_height,Valance height,Default,Default,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,perfectsheer_valance_height,Valance height,3.5,3.5,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,perfectsheer_valance_height,Valance height,4.5,4.5,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,perfectsheer_valance_fabric,Valance fabric override,Default,Default,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,perfectsheer_valance_fabric,Valance fabric override,F1191,F1191,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,perfectsheer_valance_fabric,Valance fabric override,F1192,F1192,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,perfectsheer_valance_fabric,Valance fabric override,F1193,F1193,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,perfectsheer_valance_fabric,Valance fabric override,F1178,F1178,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
perfectsheer,perfectsheer_valance_fabric,Valance fabric override,F1179,F1179,,,UNRESOLVED EXCEPTION,"Choice inventoried from exported detail fields. Source, conditional visibility, authoritative validation, and production persistence are not individually certified."
