sku,title,url,variant,portalPrice,portalQuantityField,portalCasepack,portalCutdown,productIds,programIds,guideDealerNet,sourcePages,sourceEffectiveDate,observedDate,status,exception
FCX38560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,38.5 x 60 / Soft White WH,31.09,279,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,31.09,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX3860WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,38 x 60 / Soft White WH,30.68,0,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,30.68,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX39560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,39.5 x 60 / Soft White WH,105.0,58,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX3960WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,39 x 60 / Soft White WH,31.49,31,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,31.49,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX40560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,40.5 x 60 / Soft White WH,32.7,520,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,32.7,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX4060WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,40 x 60 / Soft White WH,32.3,525,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,32.3,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX4160WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,41 x 60 / Soft White WH,33.11,0,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,33.11,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX4260WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,42 x 60 / Soft White WH,33.92,0,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,33.92,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX4360AL,FCX | 60 Inch Length,/products/fcx-60-inch-length,43 x 60 / Soft White BO,105.0,116,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX4360WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,43 x 60 / Soft White WH,34.72,1531,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,34.72,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX4560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,45 x 60 / Soft White WH,36.34,45,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,36.34,60,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX46560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,46.5 x 60 / Soft White WH,37.55,369,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,37.55,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX4660WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,46 x 60 / Soft White WH,37.15,0,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,37.15,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX4760WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,47 x 60 / Soft White WH,37.95,4112,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,37.95,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX4860WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,48 x 60 / Soft White WH,38.76,0,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,38.76,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX4960WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,49 x 60 / Soft White WH,105.0,18,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX50560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,50.5 x 60 / Soft White WH,105.0,27,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX5260WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,52 x 60 / Soft White WH,105.0,15,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX5360WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,53 x 60 / Soft White WH,42.8,230,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,42.8,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX5460AL,FCX | 60 Inch Length,/products/fcx-60-inch-length,54 x 60 / Soft White BO,105.0,-2,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX5460WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,54 x 60 / Soft White WH,43.61,25,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,43.61,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX5760WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,57 x 60 / Soft White WH,46.03,72,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,46.03,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX58560AL,FCX | 60 Inch Length,/products/fcx-60-inch-length,58.5 x 60 / Soft White BO,105.0,3,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX58560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,58.5 x 60 / Soft White WH,47.24,70,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,47.24,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX5860WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,58 x 60 / Soft White WH,46.84,188,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,46.84,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX5960WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,59 x 60 / Soft White WH,47.64,1058,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,47.64,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX6060WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,60 x 60 / Soft White WH,48.45,181,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,48.45,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX6160WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,61 x 60 / Soft White WH,49.26,175,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,49.26,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX62560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,62.5 x 60 / Soft White WH,50.47,249,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,50.47,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX6260WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,62 x 60 / Soft White WH,50.06,341,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,50.06,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX6360AL,FCX | 60 Inch Length,/products/fcx-60-inch-length,63 x 60 / Soft White BO,105.0,1,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX6360WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,63 x 60 / Soft White WH,50.87,2765,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,50.87,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX6460WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,64 x 60 / Soft White WH,105.0,34,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX6760WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,67 x 60 / Soft White WH,54.1,220,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,54.1,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX6860WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,68 x 60 / Soft White WH,54.91,508,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,54.91,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX69560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,69.5 x 60 / Soft White WH,105.0,0,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX6960WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,69 x 60 / Soft White WH,55.72,195,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,55.72,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX70560AL,FCX | 60 Inch Length,/products/fcx-60-inch-length,70.5 x 60 / Soft White BO,105.0,43,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX70560WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,70.5 x 60 / Soft White WH,56.93,32,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,56.93,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX7060AL,FCX | 60 Inch Length,/products/fcx-60-inch-length,70 x 60 / Soft White BO,105.0,1,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX7060WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,70 x 60 / Soft White WH,56.53,419,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,56.53,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX7160AL,FCX | 60 Inch Length,/products/fcx-60-inch-length,71 x 60 / Soft White BO,105.0,32,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX7160WH,FCX | 60 Inch Length,/products/fcx-60-inch-length,71 x 60 / Soft White WH,57.33,60,,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,57.33,61,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX7260AL,FCX | 60 Inch Length,/products/fcx-60-inch-length,72 x 60 / Soft White BO,105.0,3,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
,FCX | 60 Inch Length,/products/fcx-60-inch-length,72 x 60 / Soft White WH,105.0,872,,0,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX1072WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,10 x 72 / Soft White WH,17.64,1,4 -pack,0,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,17.64,62,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX1172WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,11 x 72 / Soft White WH,19.4,870,4 -pack,2,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,19.4,62,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX1272WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,12 x 72 / Soft White WH,105.0,-4,4 -pack,3,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX1372WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,13 x 72 / Soft White WH,26.21,26,4 -pack,4,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,26.21,62,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX14572WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,14.5 x 72 / Soft White WH,29.23,191,4 -pack,5,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,29.23,64,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX1572WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,15 x 72 / Soft White WH,30.24,33,4 -pack,6,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,30.24,62,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX1672WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,16 x 72 / Soft White WH,28.22,58,4 -pack,7,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,28.22,62,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX16572WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,16.5 x 72 / Soft White WH,105.0,32,4 -pack,8,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX1772WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,17 x 72 / Soft White WH,22.21,2600,4 -pack,9,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,22.21,62,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX1872WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,18 x 72 / Soft White WH,23.52,31,4 -pack,10,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,23.52,62,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX1972WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,19 x 72 / Soft White WH,24.82,327,4 -pack,11,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,24.82,62,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX2172WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,21 x 72 / Soft White WH,20.35,55,4 -pack,12,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,20.35,62,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX2272WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,22 x 72 / Soft White WH,21.32,463,4 -pack,13,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,21.32,63,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX22572WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,22.5 x 72 / Soft White WH,21.8,881,4 -pack,14,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,21.8,64,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX2372WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,23 x 72 / Soft White WH,22.29,2444,4 -pack,15,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,22.29,63,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX23572WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,23.5 x 72 / Soft White WH,22.77,120,4 -pack,16,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,22.77,64,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX2472WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,24 x 72 / Soft White WH,23.26,0,4 -pack,17,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,23.26,63,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX24572WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,24.5 x 72 / Soft White WH,23.74,1383,4 -pack,18,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,23.74,64,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX2572AL,FCX | 72 Inch Length,/products/fcx-72-inch-length,25 x 72 / Alabaster BO,105.0,-1,4 -pack,19,,,,,,2026-09-20,unresolved_exception,No exact imported stock SKU destination
FCX2572WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,25 x 72 / Soft White WH,24.23,4449,4 -pack,20,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,24.23,63,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX25572WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,25.5 x 72 / Soft White WH,24.71,0,4 -pack,21,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,24.71,64,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX2672WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,26 x 72 / Soft White WH,25.19,2,4 -pack,22,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,25.19,63,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
FCX26572WH,FCX | 72 Inch Length,/products/fcx-72-inch-length,26.5 x 72 / Soft White WH,25.68,349,4 -pack,24,lotus_faux_wood_blinds,lotus_fcx_2in_soft_white_stock,25.68,64,,2026-09-20,unresolved_exception,Source price agrees; stock ordering selection and production persistence unverified
